question,answers
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
"the product of consistent modification by scientists are called?
",GMOs 
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
what is RFID used for?,is a technology that has been used to identify and track livestock animals
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
which nutrient is essential for the production of chlorophyll.,Nitrogen 
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
which type of cancer are high among agricultural workers.,"Leukemia, Non?Hodgkin lymphoma and skin cancer "
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm"
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis"
name the diet in which diary cows should be fed on.,diet high in protein and calcium
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
what is a major source of greenhouse gas emissions,Animal husbandry
what percentage does the production of animal food produce to Green House Emission.,57%
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
how else can you achieve pest control.,culling
what are the negative consequences of fertilizers for the environment.,pollution of waterways and harm to aquatic ecosystems.
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
what can be made from  milled bean flour.,"bean cakes, bean bread, and bean porridge."
how can you minimize the effects of anti-nutrients in beans.,"it is recommended to soak, sprout, or ferment the beans before milling them. These processes can help to break down the anti-nutrients and make the nutrients more bioavailable."
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
how is farmyard manure derived?,"Farmyard manure is typically derived from animal waste, such as cow dung, and contains a mix of organic matter, nutrients, and microorganisms. It provides a slow-release source of nutrients and helps improve soil structure and moisture retention."
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
Explain how agronomic practices can be used to impact on the extent of damage done by crop pests? ,"Crop rotation: Rotating crops helps disrupt the life cycles of pests and reduces the buildup of pest populations. By alternating different crops in the same field, pests that are specific to a particular crop are less likely to persist and cause significant damage.

Proper planting time and spacing: Planting crops at the appropriate time and with the correct spacing can promote healthy plant growth and vigor. Well-spaced plants have better air circulation, reducing the favorable conditions for pests and diseases to spread. Timely planting can also help avoid critical pest infestation periods.

Field sanitation: Proper field sanitation involves removing crop residues, weeds, and other debris from the field. These residues can harbor pests and diseases, providing a breeding ground for future infestations. Removing crop debris and maintaining clean field conditions can help reduce pest populations.

Use of resistant or tolerant varieties: Planting crop varieties that have natural resistance or tolerance to specific pests can greatly reduce pest damage. Resistant varieties have built-in genetic traits that make them less susceptible to pest attacks. By choosing and planting resistant or tolerant varieties, farmers can minimize the impact of pests on their crops."
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
why do farmers to use chemicals,"to control weeds and insects and to produce increased amounts of vegetables, milk, or eggs"
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
name the diet in which diary cows should be fed on.,diet high in protein and calcium
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
which animal require a diet that is lower in protein but higher in carbohydrates.,pigs 
A large diary cows can eat up of?,150 pounds
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
what is RFID used for?,is a technology that has been used to identify and track livestock animals
what is a major source of greenhouse gas emissions,Animal husbandry
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
give other examples of ruminats,"Goats, sheep, camels, and antelope "
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
what is animal welfare?,refers to the conditions in which an animal is raised
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
explain how over grazing destroy soil nutrients.,"Overgrazing by livestock can lead to soil compaction, erosion, and loss of soil organic matter, which are all detrimental to soil fertility."
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
A large diary cows can eat up of?,150 pounds
How can cows make so much milk?,If its calf nurses regularl
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
What are barns used for?,to store modern farm machinery and house farm animals
give other examples of ruminats,"Goats, sheep, camels, and antelope "
which organic fertilizer is good for cassava cultivation.,compost or animal manure
which animal require a diet that is lower in protein but higher in carbohydrates.,pigs 
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
what percentage does the production of animal food produce to Green House Emission.,57%
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
what is animal welfare?,refers to the conditions in which an animal is raised
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
which animal require a diet that is lower in protein but higher in carbohydrates.,pigs 
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
what is a major source of greenhouse gas emissions,Animal husbandry
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
what is monoculture.,one cultivar is planted on a large acreage
what is a major source of greenhouse gas emissions,Animal husbandry
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
How has farming changed in the United States?,"The growth of farming brought many laborsaving devices to 19th- and early 20th-century farm life, including reaping and threshing machines, which replaced work done by hand. Today, with modern methods of agriculture that include complex machinery, scientific breeding, and chemical pesticides, farms require far fewer workers."
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
What are barns used for?,to store modern farm machinery and house farm animals
A large diary cows can eat up of?,150 pounds
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
what percentage does the production of animal food produce to Green House Emission.,57%
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
what is RFID used for?,is a technology that has been used to identify and track livestock animals
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
"which pest feeds on the leaves and stems of cassava, causing defoliation and reduced yield",Cassava beetle
Explain how agronomic practices can be used to impact on the extent of damage done by crop pests? ,"Crop rotation: Rotating crops helps disrupt the life cycles of pests and reduces the buildup of pest populations. By alternating different crops in the same field, pests that are specific to a particular crop are less likely to persist and cause significant damage.

Proper planting time and spacing: Planting crops at the appropriate time and with the correct spacing can promote healthy plant growth and vigor. Well-spaced plants have better air circulation, reducing the favorable conditions for pests and diseases to spread. Timely planting can also help avoid critical pest infestation periods.

Field sanitation: Proper field sanitation involves removing crop residues, weeds, and other debris from the field. These residues can harbor pests and diseases, providing a breeding ground for future infestations. Removing crop debris and maintaining clean field conditions can help reduce pest populations.

Use of resistant or tolerant varieties: Planting crop varieties that have natural resistance or tolerance to specific pests can greatly reduce pest damage. Resistant varieties have built-in genetic traits that make them less susceptible to pest attacks. By choosing and planting resistant or tolerant varieties, farmers can minimize the impact of pests on their crops."
name the diet in which diary cows should be fed on.,diet high in protein and calcium
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
what important role does agriculture play?,feeding the growing population.
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis"
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
How has farming changed in the United States?,"The growth of farming brought many laborsaving devices to 19th- and early 20th-century farm life, including reaping and threshing machines, which replaced work done by hand. Today, with modern methods of agriculture that include complex machinery, scientific breeding, and chemical pesticides, farms require far fewer workers."
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
what is RFID used for?,is a technology that has been used to identify and track livestock animals
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f
give other examples of ruminats,"Goats, sheep, camels, and antelope "
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
what is a major source of greenhouse gas emissions,Animal husbandry
give other examples of ruminats,"Goats, sheep, camels, and antelope "
Are beef animals consuming grain that could be used to feed humans?,lifetime 
Are beef animals consuming grain that could be used to feed humans?,lifetime 
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
what is RFID used for?,is a technology that has been used to identify and track livestock animals
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
what is RFID used for?,is a technology that has been used to identify and track livestock animals
what important role does agriculture play?,feeding the growing population.
do plants have naturally occurring B12?,no 
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
Which pests affects mostly beans?,Bean weevils
what is Agroforestry.,"Planting trees and shrubs alongside crops can help provide shade, reduce erosion, add organic matter to the soil, and provide additional income through the sale of timber or fruits."
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
how else can you achieve pest control.,culling
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
give other examples of ruminats,"Goats, sheep, camels, and antelope "
A large diary cows can eat up of?,150 pounds
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f
name the diet in which diary cows should be fed on.,diet high in protein and calcium
what percentage does the production of animal food produce to Green House Emission.,57%
what is a major source of greenhouse gas emissions,Animal husbandry
How can cows make so much milk?,If its calf nurses regularl
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
how can you minimize the effects of anti-nutrients in beans.,"it is recommended to soak, sprout, or ferment the beans before milling them. These processes can help to break down the anti-nutrients and make the nutrients more bioavailable."
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
what is RFID used for?,is a technology that has been used to identify and track livestock animals
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
A large diary cows can eat up of?,150 pounds
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
how else can you achieve pest control.,culling
what important role does agriculture play?,feeding the growing population.
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis"
List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
what important role does agriculture play?,feeding the growing population.
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
what is a major source of greenhouse gas emissions,Animal husbandry
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
Are beef animals consuming grain that could be used to feed humans?,lifetime 
give other examples of ruminats,"Goats, sheep, camels, and antelope "
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm"
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
what is Food Supply Continuum,The process of getting food from the farm to the table
"the product of consistent modification by scientists are called?
",GMOs 
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
what is animal welfare?,refers to the conditions in which an animal is raised
what are Glueboards  used for?,for monitoring cockroaches and to catch rodents.
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
name the diet in which diary cows should be fed on.,diet high in protein and calcium
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
"the product of consistent modification by scientists are called?
",GMOs 
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
what is animal welfare?,refers to the conditions in which an animal is raised
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
how else can you achieve pest control.,culling
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
