id,question,choices,answer
ani-708,Chinchillas should be bathed with warm water at least once a week.,"['False', 'True']",False
ani-709,Which of the following should be avoided in the pet chinchillas diet?,"['Fresh vegetables', 'Hay', 'Water', 'Raisin']",Fresh vegetables
ani-856,Box Turtles are solitary creatures who neither want nor need companions.,"['True', 'False']",True
ani-886,What chinchilla species has become extinct as a result of fur hunting?,"['All of these', 'Long-tailed Chinchilla', 'Giant Chinchilla', 'Red-nosed Chinchilla']",Giant Chinchilla
ani-887,In which of these studies are chinchillas used as animal models?,"['Studies of vocalization', 'Eyesight studies', 'Studies of the auditory system', 'Studies of the reproductive system']",Studies of the auditory system
ani-945,What type of food does the guinea pig naturally feed on?,"['Grass', 'Grains', 'Green leaved', 'Nuts']",Grass
ani-947,What plant is poisonous for guinea pigs and should never be offered to them?,"['All of these', 'All plants growing from a bulb', 'Bracken', 'Wild celery']",All of these
ani-984,What is the difference between the digestion of kangaroos and the digestion of ruminants?,"['Nothing', 'Kangaroos need to consume some animal matter to provide essential digestive bacteria.', 'Kangaroos do not release methane.', 'Kangaroos digest plant matter five times faster than ruminants do.']",Kangaroos do not release methane.
ani-985,What does the diet of all kangaroos consist of in general?,"['All of these', 'Plant matter', 'Fungi', 'Plant and animal matter']",Plant matter
ani-1054,"What sense of the Malayan Tapir, also called Asian Tapir, is underdeveloped?","['Eyesight', 'Hearing', 'Smell', 'Touch']",Eyesight
ani-1249,The giant pandas diet is 99% this.,"['bananas', 'fish', 'honey', 'bamboo']",bamboo
ani-1287,Which is the smallest species of dolphin?,"['Maui Dolphin/Hectors Dolphin', 'The Spinner Dolphin', 'The Pacific White-Sided Dolphin', 'The Bottlenose Dolphin']",Maui Dolphin/Hectors Dolphin
ani-1294,What is the meaning of the term graminivore?,"['an animal that feeds on fruit', 'an animal that feeds on seaweed', 'an animal that feeds on grass', 'an animal that feeds on tree leaves']",an animal that feeds on grass
ani-1295,What kind of herbivorous animals are the granivores?,"['Animals that feed on buds', 'All of these', 'Animals that feed on seeds', 'Animals that feed on fruit']",Animals that feed on seeds
bra-195,"This food is one of the most versatile and convenient. You can boil it, fry it, poach it, scramble it, use it in baking. What is it?","['Sugar', 'Fish', 'Wheat', 'Egg']",Egg
cel-435,Joaquin Phoenix is known to have been a vegan since the age of three.,"['True', 'False']",True
cel-2806,Actress Lindsay Wagner has co-authored a vegetarian cookbook.,"['False', 'True']",True
ent-56,There is more than one Killer Whale named Shamu in the SeaWorld parks in the U.S.,"['True', 'False']",True
ent-58,Which of these creatures is not featured in the exhibit of the world famous SeaWorld attraction Wild Arctic?,"['Beluga Whale', 'Polar Bear', 'Walrus', 'Penguin']",Penguin
ent-70,Which of the four parks is the largest single Disney theme park in the world?,"['Epcot', 'Magic Kingdom', 'Animal Kingdom', 'Hollywood Studios']",Animal Kingdom
gen-747,"Lactose is a type of sugar consisting of two subunits (galactose and glucose), found primarily in what food?","['Milk', 'Fruits', 'Vegetables', 'Honey']",Milk
gen-891,What would you be eating if you were served Angels on Horseback?,"['Prunes wrapped in bacon', 'Clams wrapped in ham', 'Oysters wrapped in bacon', 'Shrimp wrapped in chicken']",Oysters wrapped in bacon
geo-415,"This island is the third largest in Indonesia, and is probably known for its coffee. It is also home to unique (and endangered) species of elephants, tigers, and rhinoceroses. It is also one of two islands which have indigenous orangutans.","['Timor', 'Sumatra', 'New Guinea', 'Celebes']",Sumatra
his-484,"The passenger pigeon was one of the most common birds in the world- it is estimated that there were about five billion in the United States alone. The last passenger pigeon died on September 1, 1914 in this zoo.","['The Giza Zoo', 'The Kabul Zoo', 'The Philadelphia Zoo', 'The Cincinnati Zoo']",The Cincinnati Zoo
hob-66,"Bratwurst is often consumed in this country.  They are sausages made of pork and veal and seasoned with ginger, nutmeg, and coriander or caraway.","['Macedonia', 'Hungary', 'Germany', 'Romania']",Germany
hob-160,"This is a traditional Scottish dish, boiled in a sheepâs stomach. Some of the main ingredients are sheepâs pluck, onion, salt and spices.","['Ratatouille', 'Haggis', 'Marmite', 'Hot Pot']",Haggis
hob-225,"Famous also as Chinese gooseberry, this fruit is the richest in vitamins and minerals. However, it should not be served with dairy products, as its enzyme actinidin will start dissolving the milk proteins and leave a bitter taste in your mouth.","['Apple', 'Orange', 'Banana', 'Kiwi']",Kiwi
hob-233,"A lilac colored cow is the symbol of this brand of chocolate, a best-seller for Kraft Foods, created in 1901 in NeuchÃ¢tel, Switzerland by chocolatier Philippe Suchard.","['Nestle', 'Milka', 'Svoge', 'Lindt']",Milka
hob-303,Parts of the plant Helianthus annuus are edible.,"['False', 'True']",True
hob-368,What Greek cheese is made of 70% ewes and 30% goats milk?,"['Kasseri', 'Metsovone', 'Myzithra', 'Feta']",Feta
hob-453,"This is an Italian delicacy consisting of raw beef, tuna or veal that has been pounded and cut into very thin slices. It is served with a mustard sauce and is usually placed on a bed of arugula and green with an olive oil/lemon juice dressing.","['Retsina', 'Cibreo', 'Capi', 'Carpaccio']",Carpaccio
hob-583,What is the main ingredient in the Chinese meal called Lions head ?,"['Cabbage', 'Lions testicles', 'Shrimp', 'Pork meatballs']",Pork meatballs
hob-650,What are the only insects that are allowed to be consumed according to Jewish dietary laws?,"['Crickets', 'Cockroaches', 'Locusts', 'Ants']",Locusts
hob-651,It is considered that the consumption of these animals transmitted a predecessor of HIV to humans.,"['Primates', 'Birds of prey', 'Rats', 'Wild animals']",Primates
hob-715,What part of a duck or goose is used for the preparation of the French meal Foie gras?,"['Breast', 'Skin', 'Liver', 'Wings']",Liver
hob-716,What animal is used for the preparation of the French delicacy Escargot?,"['Oyster', 'Shrimp', 'Rabbit', 'Snail']",Snail
hob-721,This vegetable is the main ingredient of the traditional French dish Cassoulet.,"['Beans', 'Carrots', 'Tomatoes', 'Potatoes']",Beans
hob-747,The milk of which of these mammals is used for consumption by humans?,"['Moose', 'Reindeer', 'All of these', 'Water buffalo']",All of these
hob-757,What  vitamin is found in high amounts in the bitter root of the turnip plant?,"['Vitamin C', 'Vitamin E', 'Vitamin B12', 'Vitamin A']",Vitamin C
hob-850,What should cows be fed on to produce the milk used for the making of Cantal cheese?,"['Grass', 'Grains', 'Hay', 'Whey']",Hay
hob-852,What type of milk is the Grana Padano cheese made from?,"['Sheeps milk', 'Goats milk', 'Buffalos milk', 'Cows milk']",Cows milk
hob-868,People who are lactose-intolerant should not consume yogurt or milk.,"['False', 'True']",False
hob-1016,"To make this dish you would:  leave your cheese outside covered with loose cheesecloth, allow flies to lay their eggs inside the cheese, the maggots will hatch and then spread it on toast.  Enjoy!","['Blutwurst', 'Maggot-cheese', 'Ricci di mare', 'Retsina']",Maggot-cheese
hob-1021,"This was a common dish in England at the beginning of the century.  It contains raisins, sugar, chestnuts, rice, and 3 quarts of pork blood.","['Blood Pudding', 'Liver and lights', 'Yule brod', 'Blood Thirsty']",Blood Pudding
hob-1022,"This dish of fresh squid is eaten alive and raw, even at the moment of swallowing it.","['Hachi no ko', 'Inago', 'Mollejas', 'Ika sashimi']",Ika sashimi
hob-1025,"To eat this meal you would: wait for a fertilized egg until the 16th day of incubation, open it and swallow the fetus without removing anything from it except some feathers from your teeth.","['Dookers', 'Balut', 'Nankotsu', 'Mollejas']",Balut
hob-1039,"This food, made by bees from the nectar of flowers, gives great energy to the body. This energy is used mainly for blood formation.","['Sugar cane', 'Beeswax', 'Honey', 'Royal jelly']",Honey
hob-1046,These are people who do not eat anything that is derived from animals.,"['Vegans', 'Lacto Vegetarians', 'Demi-Vegetarians', 'Fruitarians']",Vegans
hob-1047,This religion encourages vegetarianism.,"['Islam', 'Shintoism', 'Buddhism', 'Christianity']",Buddhism
hob-1048,"It is a widespread myth that vegetarians cannot provide this to their body, because it could only be supplied from meat. However, it is found in soy, beans, nuts, milk, cheese, eggs, etc.","['Calories', 'Vitamins', 'Minerals', 'Protein']",Protein
hob-1049,"Vegetarian diet is rich in these agents, found mostly in fruits and vegetables. They are known to fight free radicals,  thus slowing down the process of aging.","['Essential oils', 'Antioxidants', 'Vitamins', 'Cholesterol']",Antioxidants
hob-1050,This is the reason why vegetarian diet is good for humans.,"['Anatomically, humans resemble herbivores', 'Meat is slightly toxic', 'Humans were herbivores at the beginning of their existence', 'Fruits and vegetables remain in the intestines longer']","Anatomically, humans resemble herbivores"
hob-1052,"This is how much the risk of breast cancer increases, if a woman eats meat daily, as opposed to once a week only.","['2.8 times', '2 times', '3.8 times', '3 times']",3.8 times
hob-1054,"The breast milk of a meat-eating mother can be this much more contaminated with pesticides, compared to the milk of a vegetarian mother.","['25 times', '35 times', '5 times', '2 times']",35 times
hob-1055,"This is the vitamin that vegetarians should take, as it is not found in plants.","['A', 'C', 'B 12', 'E']",B 12
hob-1155,What type of fish may be consumed according to Jewish dietary laws?,"['All of these', 'Shellfish', 'Marine fish', 'Fish with fins and scales']",Fish with fins and scales
hob-1156,"What types of food should not be mixed, consumed or stored together according to Jewish dietary laws?","['Dairy products and vegetables', 'Meat and dairy products', 'Meat and fish', 'Eggs and rice']",Meat and dairy products
hob-1161,In what way should an animal be slaughtered in order to be suitable for eating according to Jewish dietary laws?,"['All of these', 'In a single cutting movement', 'With a sharp unserrated knife', 'By a trained person']",All of these
mov-1990,In 1954 a British group released a full length animated version of this George Orwell novel.,"['Animal Farm', 'In the Trenches', 'Down and Out in London and Paris', '1984']",Animal Farm
mov-2125,Walt Disneys 1942 animated movie Bambi caused a phenomenon called the Bambi effect. What is it related to?,"['Orphaned children', 'Feeling sympathy for animals', 'Men who get overly emotional', 'Children who become independent at young age']",Feeling sympathy for animals
mov-2489,What should humans do in order to keep planet Earth safe in the 1951 science fiction movie The Day the Earth Stood Still?,"['Curb their aggression', 'All of these', 'Stop destroying the environment', 'Become vegetarians']",Curb their aggression
mus-2387,"What are the piggies eating according to the Beatles song Piggies: You can see them out for dinner with their piggy wives, clutching forks and knives to eat their ...?","['Beloved', 'Lives', 'Bacon', 'Steak']",Bacon
mus-3851,What Michael Jackson music video features scenes of war and animal cruelty?,"['Earth Song', 'Heal the World', 'Man in the Mirror', 'We Are the World']",Earth Song
new-801,"This fish, which was introduced to Lake Victoria in East Africa in the 1950s, caused the extinction or near-extinction of several hundred native species.","['Nile perch', 'None of these', 'Mekong catfish', 'Candiru']",Nile perch
new-1038,"Some types of red meat, such as pork contain large amounts of saturated fats, which increase levels of bad cholesterol in the blood.","['False', 'True']",True
new-1040,The iron in meat and fish is absorbed and utilized in the human body more efficiently than iron in other foods.,"['False', 'True']",True
new-1042,"Mioglobin, a protein which supplies the muscles with oxygen, is found in beef, pork, lamb and sea foods.","['False', 'True']",False
new-1047,Buddhism prohibits killing animals for food.,"['True', 'False']",True
new-2414,Who wrote the allegorical novella Animal Farm?,"['George Orwell', 'Pearl S. Buck', 'Lewis Wallace', 'Karl Marx']",George Orwell
new-2837,Garlic and onions are considered toxic for which animals?,"['Rabbits and hares', 'Cats and dogs', 'Sheep and goats', 'Horses and donkeys']",Cats and dogs
new-2920,What type of diet does the Common Chimpanzee have?,"['Mainly carnivorous', 'None of these', 'Herbivorous', 'Omnivorous']",Omnivorous
new-2924,What kind of law was passed in the United States in February 2009 concerning chimpanzees and primates in general?,"['Pet primates should be held on a leash all the time.', 'All pet primates should be castrated', 'Ban to be kept as pets', 'Only female primates can be kept as pets']",Ban to be kept as pets
new-2926,The German dish Weihnachtsgans is usually prepared from a whole stuffed animal. What animal is used?,"['Goose', 'Suckling pig', 'Rabbit', 'Lamb']",Goose
new-2977,What is the subject of study of ethology?,"['Animals in heraldry', 'Names of animal species', 'Animal behavior', 'None of these']",Animal behavior
peo-1671,"This Indian peace activist, who was assassinated in 1948, wrote the book The Moral Basis of Vegetarianism.","['Sheikh Mehtab', 'Baba Amte', 'Mahatma Gandhi', 'Shah Jahan']",Mahatma Gandhi
peo-1672,This American photographer wrote several cookbooks and introduced a line of frozen vegetarian meals in 1991.,"['Linda McCartney', 'Lee Miller', 'Pat Booth', 'Amy Berliner']",Linda McCartney
peo-1675,"This English romantic poet wrote several essays on vegetarianism, including A Vindication of Natural Diet and On the Vegetable System of Diet.","['William Blake', 'William Ellery Channing', 'Percy Bysshe Shelley', 'Robert Browning']",Percy Bysshe Shelley
rat-1911,"A specimen of these pets managed to kill 28,899 other animals. What a murderer! :)","['Donkeys', 'Cats', 'Dogs', 'Fish']",Cats
rat-2029,Producing corn syrup is the second largest use of corn in North America; this is the largest.,"['Frozen food sales', 'Producing ethanol fuels', 'Paper and textiles', 'Feeding livestock']",Feeding livestock
sci-53,"The food colorants, cochineal and carmine, are made from what?","['Frogs', 'A kind of insect', 'FDC Red Dye #40', 'None of these']",A kind of insect
sci-54,"Jell-O, the popular gelatin dessert, is made in part, from what?","['Bones and hides', 'Red ants', 'None of these', 'Horses and cows hooves']",Bones and hides
sci-658,Which of these types of fat raises both LDL(bad cholesterol) and HDL(good cholesterol)?,"['Saturated', 'Trans', 'Monounsaturated', 'Polyunsaturated']",Saturated
sci-725,The best diet is a permanent lifestyle change.,"['True', 'False']",True
sci-728,"It would be better to skip breakfast entirely than to eat the typical American breakfast of sausage, sweets rolls, pancakes with syrup, and eggs.","['False', 'True']",True
sci-795,Animal foods generally contain more saturated fats that plant foods.,"['Yes', 'No']",Yes
sci-1079,The distribution of this substance into water is often deadly for seabirds as it destroys the structure of its feathers.  Thus cold water quickly reaches the skin and the bird often freezes to death.,"['Carbon dioxide', 'Carbon monoxide', 'Oil', 'Pesticides']",Oil
sci-1362,How many hours approximately does an eggshell formation take in an average laying hen?,"['About 48 hours', 'About 5 hours', 'About 20 hours', 'Less than 2 hours']",About 20 hours
sci-1365,Which of the following is not true about the egg yolk?,"['It contains 75% of the protein of the egg.', 'It is placed in a yolk sac.', 'Its usual color varies from pale yellow to deep orange.', 'It contains almost 100% of total amount of fat and cholesterol in the egg.']",It contains 75% of the protein of the egg.
sci-1773,Which is the only B vitamin that cannot be obtained from plant products?,"['B7', 'B1', 'B6', 'B12']",B12
sci-1814,"Shellfish is rich in vitamin B12, which supports the functions of nerves and mental ability.","['False', 'True']",True
sci-1830,"Vitamin B12, which is related to hair growth and strength, can be obtained from which food?","['All of these', 'Diary products and egg yolks', 'Seafood', 'Meat']",All of these
sci-1889,Almonds possess cholesterol-lowering properties.,"['True', 'False']",True
sci-1890,"Lentils and beans are rich in fiber, omega-3 acids and calcium.","['True', 'False']",True
sci-2006,What animals are used in the treatment of mood disorders such as depression?,"['Parrots', 'Dolphins', 'All of these', 'Dogs']",All of these
sci-2190,Vegetarians can get all the proteins they need through non-meat food sources.,"['True', 'False']",True
spo-1952,What are the main animals used in a rodeo?,"['horses and buffalo', 'horses and goats', 'cattle and pigs', 'horses and cattle']",horses and cattle
tel-2927,"One of the tasks on season one of the reality show  The Mole, was to participate in a bullfight.  The group failed the task because Kathryn Price opposes cruelty to animals and refuses to participate, saying it will hurt the bull.","['False', 'True']",False
tel-3124,"Lisa Simpson, the middle child of The Simpsons, became a vegetarian.","['True', 'False']",True
wor-550,It is obvious that vegetarians and vegans dont eat turkey on Thanksgiving day. This meal is a meatless imitation of turkey.,"['Hiyayakko', 'Tofurkey', 'Andouille', 'Sauerkraut']",Tofurkey
wor-649,"July 7th-14th is the time when youd better stay out of the streets in Pamplona, Spain. A herd of fighting bulls are let loose onto the streets, after a crowd of young men. A lot of injuries occur during this famous fiesta.","['La Endiablada (The Disguised Devils)', 'Bull Running', 'Bullfight', 'April Fair']",Bull Running
wor-1966,Illinois is the leading producer in the U.S. of which of these crops?,"['Oats', 'Soybeans', 'Milo', 'Wheat']",Soybeans
wor-2074,In 1965 this man called for a national boycott of grapes because grape pickers were being abused by their employers.,"['George Meaney', 'Cesar Chavesz', 'James R. Hoffa', 'Walter Reuther']",Cesar Chavesz
wor-2348,"The Chitlin Strut Festival is held every year in Salley, South Carolina and the attendees take part in a feast of chitlins and barbecue. What are chitlins?","['The large intestine of a pig', 'A colorful mixture of chicken organs, such as hearts and livers, deep fried in batter, sliced and mixed with a peach mango salsa', 'A mixture of black-eyed peas and rice', 'Deep fried beef tripe']",The large intestine of a pig
wor-2371,How many million turkeys were raised in the U.S. for the 2005 Thanksgiving holiday?,"['256 million', '150 million', '325 million', '110 million']",256 million
wor-3515,"The Thanksgiving Song, performed and co-written by Adam Sandler, revolves around the repetition of what word?","['together', 'turkey', 'cranberry', 'harvest']",turkey
wor-4129,What serious ecological problem threatens the wildlife of Cambodia?,"['Poaching', 'All of these', 'Mining', 'Deforestation']",All of these
